,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,chl,Chile,9285.0,9643.0,8151.0,7750.0,8030.0,8013.0,8264.0,8604.0,9020.0,9749.0,9880.0,10477.0,11457.0,12014.0,12422.0,13329.0,14035.0,14874.0,15319.0,15070.0,15687.0,16024.0,16344.0,16835.0,17863.0,18693.0,19665.0,20410.0,20906.0,20362.0,21329.0,22408.0,23373.0,24082.0,24249.0,24517.0,24608.0,24548.0,25165.0,25131.0,23236.0
35,chn,China,1354.0,1333.0,1398.0,1413.0,1496.0,1544.0,1559.0,1597.0,1591.0,1511.0,1424.0,1535.0,1732.0,1950.0,2179.0,2391.0,2601.0,2813.0,3004.0,3207.0,3452.0,3712.0,4024.0,4401.0,4817.0,5335.0,5980.0,6795.0,7413.0,8069.0,8885.0,9687.0,10398.0,11150.0,11917.0,12692.0,13488.0,14344.0,15243.0,16092.0,16407.0
36,col,Colombia,7503.0,7484.0,7376.0,7314.0,7394.0,7453.0,7724.0,7954.0,8097.0,8179.0,8336.0,8337.0,8507.0,8794.0,9132.0,9432.0,9456.0,9613.0,9506.0,8958.0,9073.0,9082.0,9169.0,9388.0,9750.0,10083.0,10623.0,11199.0,11432.0,11434.0,11823.0,12523.0,12896.0,13436.0,13899.0,14144.0,14243.0,14220.0,14357.0,14625.0,13489.0
37,com,Comoros,2405.0,2493.0,2656.0,2778.0,2888.0,2937.0,2989.0,3031.0,3103.0,3045.0,3061.0,2812.0,2964.0,2966.0,2731.0,2751.0,2642.0,2676.0,2639.0,2622.0,2834.0,2829.0,2826.0,2817.0,2804.0,2816.0,2822.0,2777.0,2820.0,2841.0,2878.0,2925.0,2946.0,3006.0,2996.0,2960.0,2988.0,3032.0,3067.0,3060.0,2964.0
38,cod,"Congo, Dem. Rep.",2152.0,2151.0,2092.0,2074.0,2139.0,2098.0,2143.0,2145.0,2097.0,2011.0,1820.0,1606.0,1383.0,1151.0,1066.0,1040.0,1001.0,921.0,886.0,828.0,752.0,716.0,715.0,733.0,758.0,779.0,794.0,817.0,840.0,836.0,866.0,895.0,927.0,972.0,1030.0,1065.0,1056.0,1060.0,1086.0,1098.0,1062.0
39,cog,"Congo, Rep.",3943.0,4672.0,5642.0,5824.0,6103.0,5897.0,5364.0,5251.0,5217.0,5185.0,5115.0,5096.0,5087.0,4900.0,4503.0,4552.0,4614.0,4455.0,4490.0,4249.0,4441.0,4480.0,4554.0,4461.0,4480.0,4678.0,4886.0,4409.0,4529.0,4893.0,5217.0,5185.0,5555.0,5381.0,5564.0,5252.0,4599.0,4274.0,3907.0,3673.0,3304.0
40,cri,Costa Rica,9807.0,9385.0,8527.0,8551.0,8996.0,8844.0,9096.0,9306.0,9406.0,9728.0,9868.0,9831.0,10459.0,10916.0,11120.0,11295.0,11162.0,11509.0,12035.0,12247.0,12469.0,12675.0,12879.0,13224.0,13598.0,13925.0,14727.0,15716.0,16231.0,15869.0,16448.0,16950.0,17555.0,17749.0,18169.0,18625.0,19212.0,19749.0,20074.0,20297.0,19124.0
41,civ,Cote d'Ivoire,3741.0,3729.0,3601.0,3337.0,3109.0,3146.0,3126.0,2966.0,2811.0,2695.0,2396.0,2342.0,2314.0,2281.0,2245.0,2341.0,2506.0,2632.0,2753.0,2780.0,2706.0,2695.0,2644.0,2603.0,2623.0,2660.0,2696.0,2738.0,2801.0,2886.0,2939.0,2811.0,3032.0,3247.0,3463.0,3701.0,4083.0,4462.0,4843.0,5213.0,5196.0
42,hrv,Croatia,18654.0,18794.0,18871.0,18645.0,19154.0,19258.0,19893.0,19976.0,19916.0,19721.0,18434.0,14771.0,13490.0,12729.0,13725.0,15051.0,16159.0,17246.0,17652.0,17560.0,18242.0,19518.0,20614.0,21770.0,22668.0,23614.0,24787.0,26049.0,26545.0,24627.0,24358.0,24394.0,23883.0,23843.0,23858.0,24641.0,25682.0,26886.0,27889.0,28829.0,26382.0
43,cub,Cuba,4723.0,5084.0,5161.0,5411.0,5809.0,5889.0,5837.0,5621.0,5744.0,5740.0,5421.0,4580.0,3910.0,3057.0,3086.0,3290.0,3738.0,3940.0,3928.0,4168.0,4611.0,4867.0,5025.0,5183.0,5246.0,5422.0,6229.0,6482.0,6907.0,7187.0,7566.0,7968.0,8210.0,8487.0,8773.0,9074.0,9201.0,9364.0,9576.0,9788.0,9975.0
44,cyp,Cyprus,13822.0,14236.0,15133.0,15914.0,17278.0,18063.0,18862.0,20106.0,21824.0,23584.0,25186.0,24724.0,26338.0,25889.0,26856.0,28579.0,28478.0,28819.0,30207.0,31364.0,32883.0,33816.0,34676.0,35156.0,36432.0,37654.0,38776.0,39895.0,40324.0,38465.0,38227.0,37414.0,35578.0,33324.0,33065.0,34376.0,36527.0,37767.0,38822.0,39545.0,37102.0
45,cze,Czech Republic,18454.0,18622.0,18533.0,19039.0,19678.0,20341.0,21133.0,21851.0,22538.0,23166.0,23660.0,20963.0,20835.0,20826.0,21425.0,22831.0,23833.0,23735.0,23673.0,24025.0,25056.0,25916.0,26374.0,27327.0,28633.0,30481.0,32456.0,34065.0,34691.0,32887.0,33590.0,34111.0,33796.0,33769.0,34497.0,36284.0,37133.0,38949.0,40054.0,40836.0,38409.0
